word	frequency
the	10000000
of	5000000
and	3333333
to	2500000
in	2000000
a	1666667
is	1428571
was	1250000
that	1111111
for	1000000
as	909091
with	833333
by	769231
on	714286
are	666667
from	625000
be	588235
or	555556
his	526316
were	500000
it	476190
an	454545
at	434783
not	416667
which	400000
have	384615
he	370370
had	357143
this	344828
has	333333
also	322581
their	312500
but	303030
one	294118
can	285714
its	277778
other	270270
been	263158
more	256410
they	250000
used	243902
first	238095
all	232558
two	227273
citation	222222
than	217391
into	212766
would	208333
only	204082
time	200000
who	196078
most	192308
may	188679
such	185185
some	181818
many	178571
when	175439
after	172414
between	169492
over	166667
these	163934
her	161290
about	158730
there	156250
use	153846
no	151515
them	149254
new	147059
him	144928
will	142857
out	140845
during	138889
made	136986
both	135135
then	133333
often	131579
so	129870
any	128205
being	126582
where	125000
number	123457
could	121951
main	120482
through	119048
system	117647
people	116279
known	114943
each	113636
while	112360
if	111111
called	109890
convert	108696
same	107527
later	106383
three	105263
because	104167
well	103093
work	102041
before	101010
under	100000
part	99010
very	98039
different	97087
became	96154
year	95238
did	94340
large	93458
example	92593
several	91743
city	90909
early	90090
until	89286
much	88496
government	87719
found	86957
own	86207
since	85470
she	84746
even	84034
form	83333
power	82645
do	81967
those	81301
around	80645
state	80000
including	79365
set	78740
high	78125
life	77519
against	76923
second	76336
century	75758
within	75188
world	74627
still	74074
end	73529
using	72993
small	72464
name	71942
what	71429
now	70922
usually	70423
american	69930
without	69444
however	68966
began	68493
like	68027
area	67568
make	67114
common	66667
water	66225
another	65789
way	65359
due	64935
must	64516
long	64103
less	63694
four	63291
death	62893
said	62500
film	62112
order	61728
back	61350
public	60976
does	60606
left	60241
based	59880
few	59524
become	59172
s	58824
given	58480
country	58140
major	57803
british	57471
place	57143
group	56818
considered	56497
among	56180
game	55866
point	55556
period	55249
support	54945
war	54645
music	54348
down	54054
million	53763
important	53476
systems	53191
control	52910
should	52632
took	52356
day	52083
family	51813
language	51546
last	51282
original	51020
result	50761
political	50505
line	50251
members	50000
case	49751
see	49505
single	49261
just	49020
process	48780
along	48544
similar	48309
take	48077
following	47847
we	47619
although	47393
countries	47170
right	46948
either	46729
times	46512
areas	46296
published	46083
local	45872
include	45662
population	45455
never	45249
data	45045
home	44843
every	44643
various	44444
modern	44248
further	44053
development	43860
per	43668
how	43478
led	43290
possible	43103
military	42918
popular	42735
term	42553
though	42373
history	42194
generally	42017
you	41841
off	41667
rather	41494
men	41322
law	41152
developed	40984
german	40816
held	40650
human	40486
production	40323
body	40161
general	40000
light	39841
sometimes	39683
states	39526
late	39370
field	39216
having	39062
came	38911
above	38760
available	38610
book	38462
others	38314
york	38168
next	38023
created	37879
show	37736
himself	37594
wrote	37453
days	37313
died	37175
word	37037
play	36900
again	36765
great	36630
service	36496
age	36364
seen	36232
children	36101
level	35971
released	35842
works	35714
continued	35587
five	35461
higher	35336
species	35211
energy	35088
required	34965
change	34843
means	34722
team	34602
january	34483
information	34364
theory	34247
produced	34130
making	34014
built	33898
design	33784
role	33670
addition	33557
included	33445
almost	33333
side	33223
position	33113
groups	33003
able	32895
de	32787
land	32680
total	32573
range	32468
july	32362
national	32258
space	32154
written	32051
social	31949
version	31847
europe	31746
season	31646
force	31546
air	31447
allowed	31348
largest	31250
good	31153
type	31056
itself	30960
received	30864
women	30769
low	30675
throughout	30581
taken	30488
standard	30395
little	30303
least	30211
free	30120
cases	30030
size	29940
thus	29851
school	29762
especially	29674
old	29586
upon	29499
particular	29412
terms	29326
effect	29240
provide	29155
lower	29070
certain	28986
together	28902
present	28818
always	28736
short	28653
parts	28571
words	28490
third	28409
april	28329
described	28249
too	28169
established	28090
might	28011
played	27933
forces	27855
natural	27778
june	27701
once	27624
months	27548
rate	27473
european	27397
numbers	27322
six	27248
man	27174
hand	27100
typically	27027
value	26954
england	26882
london	26810
october	26738
final	26667
september	26596
average	26525
france	26455
instead	26385
current	26316
december	26247
international	26178
program	26110
character	26042
increased	25974
surface	25907
across	25840
thought	25773
company	25707
followed	25641
best	25575
provided	25510
economic	25445
games	25381
significant	25316
named	25253
function	25189
building	25126
went	25063
return	25000
uses	24938
fact	24876
study	24814
below	24752
full	24691
source	24631
lost	24570
america	24510
person	24450
changes	24390
longer	24331
research	24272
individual	24213
languages	24155
strong	24096
structure	24038
party	23981
larger	23923
run	23866
open	23810
cause	23753
aircraft	23697
away	23641
far	23585
region	23529
need	23474
food	23419
forms	23364
increase	23310
outside	23256
started	23202
material	23148
cannot	23095
november	23041
half	22989
head	22936
market	22883
near	22831
record	22779
traditional	22727
special	22676
style	22624
sent	22573
story	22523
february	22472
player	22422
designed	22371
top	22321
themselves	22272
model	22222
returned	22173
band	22124
help	22075
types	22026
come	21978
points	21930
added	21882
events	21834
network	21786
limited	21739
services	21692
nature	21645
army	21598
former	21552
father	21505
close	21459
view	21413
allow	21368
won	21322
specific	21277
elements	21231
practice	21186
lines	21142
gave	21097
pressure	21053
introduced	21008
produce	20964
moved	20921
whether	20877
religious	20833
put	20790
official	20747
movement	20704
my	20661
germany	20619
students	20576
trade	20534
method	20492
attack	20450
problems	20408
art	20367
eventually	20325
evidence	20284
referred	20243
results	20202
caused	20161
remained	20121
influence	20080
success	20040
meaning	20000
brought	19960
believed	19920
enough	19881
features	19841
give	19802
young	19763
white	19724
culture	19685
problem	19646
characters	19608
lead	19569
action	19531
according	19493
conditions	19455
performance	19417
effects	19380
amount	19342
black	19305
business	19268
working	19231
better	19194
difficult	19157
temperature	19120
education	19084
real	19048
money	19011
smaller	18975
create	18939
located	18904
directly	18868
sound	18832
leading	18797
ground	18762
therefore	18727
get	18692
private	18657
formed	18622
particularly	18587
chinese	18553
television	18519
subject	18484
south	18450
cities	18416
album	18382
class	18349
industry	18315
computer	18282
beginning	18248
community	18215
already	18182
complete	18149
go	18116
players	18083
associated	18051
related	18018
physical	17986
our	17953
town	17921
move	17889
complex	17857
interest	17825
rule	17794
speed	17762
commonly	17730
rights	17699
living	17668
greater	17637
writing	17606
find	17575
growth	17544
killed	17513
court	17483
levels	17452
house	17422
office	17391
done	17361
shows	17331
spanish	17301
needed	17271
saw	17241
central	17212
entire	17182
fire	17153
son	17123
books	17094
mostly	17065
access	17036
soon	17007
today	16978
earlier	16949
variety	16920
additional	16892
percent	16863
foreign	16835
ever	16807
recorded	16779
future	16750
widely	16722
title	16694
shown	16667
successful	16639
radio	16611
project	16584
construction	16556
changed	16529
king	16502
remains	16474
mass	16447
personal	16420
policy	16393
code	16367
includes	16340
involved	16313
africa	16287
idea	16260
names	16234
separate	16207
base	16181
length	16155
rules	16129
key	16103
units	16077
likely	16051
makes	16026
release	16000
cost	15974
church	15949
films	15924
majority	15898
primary	15873
performed	15848
methods	15823
stated	15798
appear	15773
whole	15748
member	15723
allows	15699
decided	15674
japanese	15649
reported	15625
sold	15601
capital	15576
science	15552
society	15528
rest	15504
stage	15480
event	15456
whose	15432
recent	15408
color	15385
legal	15361
highly	15337
career	15314
song	15291
frequently	15267
placed	15244
simple	15221
defined	15198
me	15175
mother	15152
appeared	15129
india	15106
schools	15083
turn	15060
simply	15038
relationship	15015
multiple	14993
nearly	14970
sense	14948
past	14925
relatively	14903
forced	14881
software	14859
attempt	14837
north	14815
william	14793
quickly	14771
companies	14749
programs	14728
products	14706
direct	14684
site	14663
sources	14641
previous	14620
technology	14599
battle	14577
front	14556
provides	14535
necessary	14514
served	14493
originally	14472
approach	14451
image	14430
seven	14409
experience	14388
greek	14368
text	14347
towards	14327
completed	14306
memory	14286
ability	14265
commercial	14245
uk	14225
health	14205
replaced	14184
worked	14164
yet	14144
start	14124
economy	14104
highest	14085
property	14065
behind	14045
knowledge	14025
test	14006
response	13986
largely	13966
sea	13947
reached	13928
president	13908
wide	13889
night	13870
operations	13850
supported	13831
act	13812
training	13793
reason	13774
britain	13755
list	13736
issues	13717
occur	13699
loss	13680
reduced	13661
active	13643
functions	13624
remain	13605
lack	13587
clear	13569
gas	13550
island	13532
cells	13514
taking	13495
contains	13477
takes	13459
approximately	13441
exist	13423
basis	13405
distance	13387
independent	13369
intended	13351
elected	13333
product	13316
adopted	13298
actually	13280
wife	13263
ended	13245
born	13228
christian	13210
keep	13193
potential	13175
course	13158
matter	13141
love	13123
issue	13106
objects	13089
things	13072
heavy	13055
oil	13038
center	13021
regular	13004
george	12987
divided	12970
eight	12953
date	12937
james	12920
summer	12903
direction	12887
laws	12870
numerous	12853
account	12837
income	12821
individuals	12804
concept	12788
plan	12771
announced	12755
russian	12739
failed	12723
applied	12706
values	12690
northern	12674
proposed	12658
ships	12642
resulting	12626
estimated	12610
appears	12594
continue	12579
canada	12563
red	12547
married	12531
object	12516
studies	12500
media	12484
engine	12469
passed	12453
henry	12438
australia	12422
machine	12407
quality	12392
founded	12376
hold	12361
say	12346
parties	12330
letter	12315
japan	12300
expected	12285
treatment	12270
normal	12255
signal	12240
blood	12225
financial	12210
status	12195
video	12180
older	12165
carried	12151
compared	12136
know	12121
wanted	12107
accepted	12092
via	12077
read	12063
animals	12048
turned	12034
unit	12019
feature	12005
southern	11990
increasing	11976
met	11962
prevent	11947
songs	11933
applications	11919
require	11905
opened	11891
marriage	11876
contain	11862
equipment	11848
playing	11834
section	11820
remaining	11806
properties	11792
asked	11779
ten	11765
charles	11751
activity	11737
whom	11723
ways	11710
buildings	11696
basic	11682
probably	11669
running	11655
materials	11641
stories	11628
edition	11614
location	11601
noted	11587
cell	11574
analysis	11561
russia	11547
rome	11534
removed	11521
becomes	11507
paper	11494
activities	11481
billion	11468
fall	11455
child	11442
cut	11429
operating	11416
degree	11403
ship	11390
occurs	11377
novel	11364
completely	11351
except	11338
inside	11325
robert	11312
troops	11299
jewish	11287
report	11274
call	11261
flow	11249
metal	11236
appointed	11223
offered	11211
told	11198
frequency	11186
initial	11173
campaign	11161
discovered	11148
definition	11136
historical	11123
models	11111
allowing	11099
operation	11086
police	11074
poor	11062
weight	11050
ancient	11038
here	11025
